Location,Price,Type of House,Land Area,Bedrooms
"Phường 15, Quận Bình Thạnh",4160000000,"Nhà hẻm, ngõ",36.0,4.0
"Xã Tân Kiên, Huyện Bình Chánh",1000000000,Nhà mặt tiền,93.0,3.0
"Phường Thạnh Xuân, Quận 12",6500000000,"Nhà hẻm, ngõ",138.0,3.0
"Phường 5, Quận Gò Vấp",23000000000,"Nhà hẻm, ngõ",135.0,21.0
"Phường 14, Quận 3",43500000000,"Biệt thự, Villa",160.0,9.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",19000000000,Nhà mặt tiền,120.0,3.0
"Phường 11, Quận Phú Nhuận",1490000000,"Nhà hẻm, ngõ",11.0,1.0
"Phường 15, Quận Tân Bình",1860000000,"Nhà hẻm, ngõ",16.0,2.0
"Phường Tân Phong, Quận 7",19500000000,Nhà mặt tiền,90.0,5.0
"Phường 5, Quận Phú Nhuận",1000000000,"Nhà hẻm, ngõ",10.0,2.0
"Phường 5, Quận Bình Thạnh",8600000000,"Nhà hẻm, ngõ",51.0,4.0
"Phường 24, Quận Bình Thạnh",7090000000,"Nhà hẻm, ngõ",32.0,4.0
"Phường 13, Quận Phú Nhuận",12500000000,"Nhà hẻm, ngõ",66.0,4.0
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",24000000000,"Nhà hẻm, ngõ",840.0,38.0
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",2590000000,Nhà mặt tiền,23.0,2.0
"Phường 5, Quận Tân Bình",5900000000,"Nhà hẻm, ngõ",60.0,3.0
"Phường 1, Quận Gò Vấp",4900000000,"Nhà hẻm, ngõ",40.0,3.0
"Phường 13, Quận 10",4700000000,"Nhà hẻm, ngõ",41.0,4.0
"Phường Phú Mỹ, Quận 7",16000000000,Nhà mặt tiền,90.0,5.0
"Phường 12, Quận Gò Vấp",8550000000,"Nhà hẻm, ngõ",70.0,4.0
"Phường An Khánh, TP. Thủ Đức - Quận 2",20000000000,Nhà mặt tiền,136.0,2.0
"Xã Thới Tam Thôn, Huyện Hóc Môn",990000000,"Nhà hẻm, ngõ",50.0,2.0
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",3250000000,"Nhà hẻm, ngõ",59.0,5.0
"Phường 15, Quận Bình Thạnh",19000000000,"Nhà hẻm, ngõ",54.0,9.0
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",4590000000,"Nhà hẻm, ngõ",64.0,3.2
"Phường 7, Quận Phú Nhuận",5990000000,Nhà mặt tiền,47.0,6.0
"Phường 15, Quận Tân Bình",8700000000,"Nhà hẻm, ngõ",56.0,11.2
"Phường Phú Mỹ, Quận 7",16000000000,Nhà mặt tiền,90.0,5.0
"Phường Bình Hưng Hòa A, Quận Bình Tân",9000000000,Nhà mặt tiền,40.0,1.0
"Xã Tân Hiệp, Huyện Hóc Môn",5700000000,"Nhà hẻm, ngõ",108.0,3.0
"Phường 13, Quận Bình Thạnh",45000000000,Nhà mặt tiền,150.0,6.0
"Phường Sơn Kỳ, Quận Tân Phú",16000000000,"Nhà hẻm, ngõ",128.0,1.0
"Phường 5, Quận Phú Nhuận",2620000000,"Nhà hẻm, ngõ",15.0,2.0
"Phường 15, Quận Tân Bình",4500000000,"Nhà hẻm, ngõ",46.0,2.0
"Phường Tân Định, Quận 1",7100000000,"Nhà hẻm, ngõ",40.0,3.0
